Manmino,English,Function,Origin,Korean,Japanese,Sanskrit,Chinese,Malaysian,Indonesian,Javanese,Tagalog,Khmer,Lao,Thai,Turkish,Arabic,Spanish,Portuguese,Mongolian,Vietnamese
dongmut,animal,Objects and Concept,Sinitic,,,,動物,,,,,,,,,,,,,
dongmut'wan,zoo,Objects and Concept,Sinitic,,,,動物園,,,,,,,,,,,,,
dosyog'wan,library,Objects and Concept,Sinitic,,,,圖書館,,,,,,,,,,,,,
dowjek,throw,Action,Sinitic,,,,投擲,,,,,,,,,,,,,
dowjek (ji) pisaw,spear,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
downaw,brain,Objects and Concept,Sinitic,,,,頭腦,,,,,,,,,,,,,
duka,Sad; painful; (emotionally) difficult; sorrowful,Qual,Sanskrit,,,दुःख (duḥkhá),,,,,,,,,,,,,,
dwa,"two (stadalone; also see ""ni"")",Objects and Concept,Sanskrit,,,द्व dvá,,,,,,,,,,,,,,
dyawyak,jump,Action,Sinitic,,,,跳躍,,,,,,,,,,,,,
dyawmu,dance,Action,Sinitic,,,,跳舞,,,,,,,,,,,,,
eka,"one (standalone; also see ""it"")",Objects and Concept,Sanskrit,,,एक éka,,,,,,,,,,,,,,
yeknit,tomorrow,Objects and Concept,Sinitic,,,,翌日,,,,,,,,,,,,,
em,(verbal/adjectival noun marker),Particle,Compound,임,,,,an,an,,,,,,,,,,,
em,"negative energy (also see ""yang"")",Quality,Sinitic,,,,陰,,,,,,,,,,,,,
eng'ong,hero,Objects and Concept,Sinitic,,,,英雄,,,,,,,,,,,,,
eng'wan,eternity,Quality,Sinitic,,,,永遠,,,,,,,,,,,,,
eng'wan,forever,Objects and Concept,Sinitic,,,,永遠,,,,,,,,,,,,,
enki,smoke,Objects and Concept,Sinitic,,,,煙氣,,,,,,,,,,,,,
enmu,mist; fog,Objects and Concept,Sinitic,,,,煙霧,,,,,,,,,,,,,
esipanya,spain,Objects and Concept,Western: Spanish,,,,,,,,,,,,,,,,,
fao bawang,green onions,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
biheng,fly,Action,Sinitic,,,,飛行,,,,,,,,,,,,,
fone,bone,Objects and Concept,Koreo-Japonic,뼈,,,,,,,,,,,,,,,,
fulanse,France,Objects and Concept,Western:French,,,,,,,,,,,,,,,,,
fulanseo,french (language),Objects and Concept,Compound,,,,,,,,,,,,,,,,,
fum; fumu,(Only for translations from Japanese) fluffy,Quality,Japanese,,もふ,,,,,,,,,,,,,,,
fuwa,soft; fluffy,Quality,Koreo-Japonic,,ふわふわ,,,,,,,,,,,,,,,
ga'o,river,Objects and Concept,Koreo-Japonic,개울,かわ,,,,,,,,,,,,,,,
gaji,value; worth; price,Objects and Concept,Sinitic,,,,價值,,,,,,,,,,,,,
gadek,house; home,Objects and Concept,Sinitic,,,,家宅,,,,,,,,,,,,,
gaja,elephant,Objects and Concept,Sanskrit,,,गज (gaja),,,,,,,,,,,,,,
gam,gold,Objects and Concept,Sinitic,,,,金,,,,,,,,,,,,,
gam'ensya,thank you,,N/A,,,,,,,,,,,,,,,,,
gamgak,feel; sense,Action,Sinitic,,,,感覺,,,,,,,,,,,,,
gamjiboti,Venus,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
gamjihali,friday,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
gamsya,thank; thanking,Action,Sinitic,,,,感謝,,,,,,,,,,,,,
gandan,easy; simple,Quality,Sinitic,,,,簡單,,,,,,,,,,,,,
ganglek,strong,Quality,Sinitic,,,,強力,,,,,,,,,,,,,
ganitasata,math,Objects and Concept,Sanskrit,,,गणित  + शास्त्र (gaṇita + śāstra),,,,,,,,,,,,,,
gawgaw,high school,Objects and Concept,Sinitic,,,,高校,,,,,,,,,,,,,
ge'im,game,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
geli,almost,Quality,Koreo-Japonic,거의,ぎり,,,,,,,,,,,,,,,
geng,through,Particle,Sinitic,,,,經,,,,,,,,,,,,,
genki,(in context of media translated from Japanese) full-feeling; feeling good,Objects and Concept,Sinitic,,,,元氣,,,,,,,,,,,,,
gimnit,today,Objects and Concept,Sinitic,,,,今日,,,,,,,,,,,,,
gimsi,now,Objects and Concept,Sinitic,,,,今時,,,,,,,,,,,,,
gimya,tonight,Objects and Concept,Sinitic,,,,今夜,,,,,,,,,,,,,
ginjep,near,Quality,Sinitic,,,,近接,,,,,,,,,,,,,
ginsi,recently,Objects and Concept,Sinitic,,,,近時,,,,,,,,,,,,,
gisyut,technology,Objects and Concept,Sinitic,,,,技術,,,,,,,,,,,,,
gonggek,to attack,Action,Sinitic,,,,攻擊,,,,,,,,,,,,,
gulu,thunder,Objects and Concept,Austronesian,,,,,guluh,guluh,,,,,,,,,,,
gulu,"teacher (also see ""senseng"")",Objects and Concept,Sanskrit,,,गुरु (gurú),,,,,,,,,,,,,,
gwahan,brave; courageous,Quality,Austroasiatic,,,,,,,,,ហាន,ກ້າ,กล้าหาญ,,,,,,
ha'o,blue-green,Quality,Koreo-Japonic,파란,あお,,,,,,,,,,,,,,,
habuk,dust,Objects and Concept,Austronesian,,,,,habuk,,,,,,,,,,,,
haka,red,Quality,Koreo-Japonic,빨간,あか,,,,,,,,,,,,,,,
hakdem,grade points (school),Objects and Concept,Sinitic,,,,學点,,,,,,,,,,,,,
hakgi,semester; trimester; term,Objects and Concept,Sinitic,,,,學期,,,,,,,,,,,,,
hakgip,class/grade (school),Objects and Concept,Sinitic,,,,學級,,,,,,,,,,,,,
hakgaw,school,Objects and Concept,Sinitic,,,,學校,,,,,,,,,,,,,
haksip,learn; study,Action,Sinitic,,,,學習,,,,,,,,,,,,,
haksyeng,"student (also see ""sisya"")",Objects and Concept,Sinitic,,,,學生,,,,,,,,,,,,,
